* Generated by rew_pipeline.py (source UUID a5e9af94-77a9-4614-b030-74790d74babe, calibrated to its own SPL at 100 Hz)
* Measurement: L.nofdw.clean-fdw8
* Dated: 2026-Sep-12 16:09:58
* Note: ; Copy of L.0 10 sept 2026 Position MLP 4.18m from front wall 3.32m from R and L speaker 1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY 0.0001 ms (0.03 mm, 0 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.1 ppm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
243.896484 73.377 -129.3327
244.262695 73.577 96.6604
244.628906 73.875 -38.7682
244.995117 73.934 -172.7440
245.361328 73.778 52.1788
245.727539 73.978 -82.6626
246.093750 74.019 141.9552
246.459961 73.774 7.6439
246.826172 73.688 -127.2944
247.192383 73.791 97.9796
247.558594 73.580 -37.8453
247.924805 73.289 -171.8288
248.291016 73.145 52.5581
248.657227 72.742 -82.2434
249.023438 72.609 142.5704
249.389648 72.060 8.6469
249.755859 71.857 -126.3470
250.122070 71.449 99.5533
250.488281 71.244 -34.3045
250.854492 70.842 -169.8128
251.220703 70.755 55.6709
251.586914 70.230 -78.6423
251.953125 69.858 146.0454
252.319336 69.660 10.1953
252.685547 69.104 -127.1326
253.051758 68.805 98.2421
253.417969 67.983 -41.4486
253.784180 67.145 -178.1219
254.150391 66.225 45.0928
254.516602 64.970 -94.9503
254.882812 63.223 124.6191
255.249023 62.333 -17.1214
255.615234 59.552 -154.2831
255.981445 55.831 54.3097
256.347656 53.374 -116.6113
256.713867 51.339 61.8048
257.080078 53.876 -115.7714
257.446289 58.967 89.8948
257.812500 61.120 -46.1701
258.178711 62.784 167.3043
258.544922 63.795 26.6740
258.911133 66.155 -114.4741
259.277344 67.000 106.8053
259.643555 67.253 -32.7736
260.009766 68.316 -174.1612
260.375977 68.818 47.6297
260.742188 69.100 -91.5502
261.108398 69.066 130.0893
261.474609 69.276 -9.9506
261.840820 69.403 -148.2790
262.207031 69.337 71.4722
262.573242 69.465 -65.9308
262.939453 69.651 156.3115
263.305664 69.329 17.7017
263.671875 69.112 -122.7541
264.038086 69.067 101.5479
264.404297 69.006 -36.2583
264.770508 69.169 -174.1021
265.136719 69.078 48.9447
265.502930 69.213 -86.9121
265.869141 69.040 134.5694
266.235352 69.200 -1.4538
266.601562 69.238 -139.0448
266.967773 69.606 84.6071
267.333984 69.958 -51.8836
267.700195 70.124 168.8441
268.066406 70.448 31.1797
268.432617 71.041 -106.2680
268.798828 71.466 114.7157
269.165039 71.753 -24.7815
269.531250 72.238 -163.3993
269.897461 72.495 59.2315
270.263672 72.680 -80.3857
270.629883 73.041 141.4889
270.996094 73.347 3.4245
271.362305 73.562 -135.6214
271.728516 73.645 86.4847
272.094727 73.871 -51.7813
272.460938 74.073 170.0729
272.827148 74.170 32.5764
273.193359 74.386 -105.7954
273.559570 74.471 116.0550
273.925781 74.459 -21.9945
274.291992 74.322 -160.3071
274.658203 74.058 62.7099
275.024414 73.818 -73.9150
275.390625 73.534 148.6814
275.756836 73.042 13.7299
276.123047 72.689 -121.6054
276.489258 72.317 104.1066
276.855469 72.184 -31.3723
277.221680 71.778 -164.8018
277.587891 71.795 61.2106
277.954102 71.403 -71.3837
278.320312 71.433 155.4525
278.686523 71.243 21.7389
279.052734 70.859 -110.9319
279.418945 70.933 116.4803
279.785156 70.884 -16.0110
280.151367 70.749 -147.6318
280.517578 70.749 81.8545
280.883789 71.002 -52.0588
281.250000 71.080 175.5053
281.616211 71.586 42.7539
281.982422 71.574 -90.4569
282.348633 71.766 135.4225
282.714844 71.877 0.5619
283.081055 72.223 -132.9306
283.447266 71.916 91.3305
283.813477 72.067 -42.8539
284.179688 72.096 -177.1115
284.545898 71.798 47.9483
284.912109 71.716 -85.8889
285.278320 71.319 139.8226
285.644531 71.024 6.2862
286.010742 70.845 -126.1687
286.376953 70.816 101.4751
286.743164 70.239 -31.3122
287.109375 70.242 -165.2112
287.475586 70.294 64.9711
287.841797 70.233 -69.7762
288.208008 70.263 158.1573
288.574219 69.942 24.3092
288.940430 70.042 -108.1209
289.306641 69.673 117.2450
289.672852 69.606 -16.4590
290.039062 69.239 -147.5418
290.405273 68.813 78.6606
290.771484 68.136 -51.7966
291.137695 67.710 177.8883
291.503906 67.394 47.4786
291.870117 67.533 -83.2153
292.236328 67.357 145.4848
292.602539 67.030 18.8034
292.968750 67.152 -111.3900
293.334961 66.734 120.4767
293.701172 66.987 -10.6595
294.067383 67.063 -137.6579
294.433594 67.556 93.5183
294.799805 67.802 -37.4172
295.166016 68.216 -164.5377
295.532227 68.419 64.6816
