* Generated by rew_pipeline.py (source UUID f0175bf7-856b-4f82-b8d3-e215cf908451, calibrated to its own SPL at 100 Hz)
* Measurement: LR.filtered.clean-fdw8
* Dated: 2026-Sep-12 16:10:02
* Note: ; Vector average of L.filtered.clean-fdw8, R.filtered.clean-fdw8
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
153.808594 72.394 80.0843
153.991699 72.439 14.5504
154.174805 72.534 -51.2013
154.357910 72.621 -117.3391
154.541016 72.660 176.3241
154.724121 72.640 110.1153
154.907227 72.610 44.2927
155.090332 72.618 -21.2698
155.273438 72.688 -86.8276
155.456543 72.798 -152.6455
155.639648 72.915 141.3370
155.822754 73.028 75.2176
156.005859 73.137 9.1290
156.188965 73.248 -56.9790
156.372070 73.347 -123.0966
156.555176 73.429 170.7910
156.738281 73.496 104.7483
156.921387 73.573 38.7034
157.104492 73.662 -27.5126
157.287598 73.755 -94.0196
157.470703 73.825 -160.7679
157.653809 73.881 132.4811
157.836914 73.947 65.8674
158.020020 74.063 -0.6288
158.203125 74.230 -67.2715
158.386230 74.415 -134.1911
158.569336 74.570 158.6255
158.752441 74.672 91.4131
158.935547 74.733 24.2878
159.118652 74.772 -42.7555
159.301758 74.802 -109.8947
159.484863 74.808 -177.2177
159.667969 74.782 115.3202
159.851074 74.725 47.8528
160.034180 74.661 -19.5413
160.217285 74.598 -86.9209
